CDHOUSE,CDASSIST,CDHELP,CDSOCIAL,CDDISCUS,CPROB1,CPROB2,CPROB3,C
1,1,*,2,1,0,0,1,3
1,1,*,4,1,0.002,0,0.998,3
1,1,*,*,*,0,0,1,3
1,2,0,0,0,0,0,1,3
1,2,0,0,1,0,0,1,3
1,2,0,1,0,0,0,1,3
1,2,0,1,1,0,0,1,3
1,2,0,2,0,0,0,1,3
1,2,0,2,1,0,0,1,3
1,2,0,3,0,0,0,1,3
1,2,0,3,1,0,0,1,3
1,2,0,4,0,0,0,1,3
1,2,0,4,1,0,0,1,3
1,2,0,*,0,0,0,1,3
1,2,0,*,1,0,0,1,3
1,2,0,*,*,0,0,1,3
1,2,1,0,0,0,0,1,3
1,2,1,0,1,0,0,1,3
1,2,1,1,0,0,0,1,3
1,2,1,1,1,0,0,1,3
1,2,1,1,*,0,0,1,3
1,2,1,2,0,0,0,1,3
1,2,1,2,1,0,0,1,3
1,2,1,3,0,0,0,1,3
1,2,1,3,1,0,0,1,3
1,2,1,4,0,0,0,1,3
1,2,1,4,1,0,0,1,3
1,2,1,4,*,0,0,1,3
1,2,1,*,0,0,0,1,3
1,2,1,*,1,0,0,1,3
1,2,2,0,0,0,0,1,3
1,2,2,0,1,0,0,1,3
1,2,2,1,0,0,0,1,3
1,2,2,1,1,0,0,1,3
1,2,2,1,*,0,0,1,3
1,2,2,2,0,0,0,1,3
1,2,2,2,1,0,0,1,3
1,2,2,2,*,0,0,1,3
1,2,2,3,0,0,0,1,3
1,2,2,3,1,0,0,1,3
1,2,2,4,0,0,0,1,3
1,2,2,4,1,0,0,1,3
1,2,2,*,0,0,0,1,3
1,2,2,*,1,0,0,1,3
1,2,3,0,0,0,0,1,3
1,2,3,0,1,0,0,1,3
1,2,3,0,*,0,0,1,3
1,2,3,1,0,0,0,1,3
1,2,3,1,1,0,0,1,3
1,2,3,2,0,0,0,1,3
1,2,3,2,1,0,0,1,3
1,2,3,3,0,0,0,1,3
1,2,3,3,1,0,0,1,3
1,2,3,4,0,0,0,1,3
1,2,3,4,1,0,0,1,3
1,2,3,*,0,0,0,1,3
1,2,3,*,1,0,0,1,3
1,2,4,0,0,0,0.006,0.994,3
1,2,4,0,1,0,0.008,0.992,3
1,2,4,0,*,0,0.007,0.993,3
1,2,4,1,0,0,0.008,0.992,3
1,2,4,1,1,0,0.011,0.989,3
1,2,4,2,0,0,0.015,0.985,3
1,2,4,2,1,0.001,0.021,0.978,3
1,2,4,3,0,0.001,0.056,0.943,3
1,2,4,3,1,0.005,0.077,0.918,3
1,2,4,4,0,0.009,0.026,0.964,3
1,2,4,4,1,0.036,0.036,0.928,3
1,2,4,*,0,0.002,0.019,0.979,3
1,2,4,*,*,0.004,0.022,0.974,3
1,2,*,1,0,0,0,1,3
1,2,*,2,0,0,0.001,0.999,3
1,2,*,2,1,0,0.001,0.999,3
1,2,*,*,0,0,0.001,0.999,3
1,2,*,*,*,0,0.001,0.999,3
1,3,4,0,0,0.001,0.999,0,2
1,3,4,0,1,0.002,0.998,0,2
1,3,4,1,0,0,1,0,2
1,3,4,1,1,0,1,0,2
1,3,4,2,0,0.002,0.998,0,2
1,3,4,2,1,0.005,0.995,0,2
1,3,4,3,0,0.003,0.997,0,2
1,3,4,3,1,0.008,0.992,0,2
1,3,4,4,0,0.043,0.957,0,2
1,3,4,4,1,0.113,0.887,0,2
1,3,4,4,*,0.077,0.923,0,2
1,3,4,*,0,0.012,0.988,0,2
1,3,4,*,1,0.032,0.968,0,2
1,3,4,*,*,0.021,0.979,0,2
1,4,4,0,0,0.014,0.986,0,2
1,4,4,0,1,0.038,0.962,0,2
1,4,4,1,0,0.002,0.998,0,2
1,4,4,1,1,0.005,0.995,0,2
1,4,4,2,0,0.036,0.964,0,2
1,4,4,2,1,0.096,0.904,0,2
1,4,4,2,*,0.065,0.935,0,2
1,4,4,3,0,0.056,0.944,0,2
1,4,4,3,1,0.143,0.857,0,2
1,4,4,3,*,0.099,0.901,0,2
1,4,4,4,0,0.477,0.523,0,2
1,4,4,4,1,0.722,0.278,0,1
1,4,4,4,*,0.629,0.371,0,1
1,4,4,*,0,0.192,0.808,0,2
1,4,4,*,1,0.403,0.597,0,2
1,*,*,0,0,0,0.059,0.94,3
1,*,*,0,1,0.001,0.082,0.917,3
1,*,*,1,0,0,0.082,0.918,3
